,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
0,3M Company,MMM,0.516427,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,1902
1,A. O. Smith Corporation,AOS,0.030654,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26 00:00:00,1916
2,Abbott Laboratories,ABT,0.552846,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31 00:00:00,1888
3,AbbVie Inc.,ABBV,0.588628,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31 00:00:00,2013 (1888)
4,ABIOMED Inc.,ABMD,0.064892,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31 00:00:00,1981
5,Accenture Plc Class A,ACN,0.42584,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06 00:00:00,1989
6,Activision Blizzard Inc.,ATVI,0.165377,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31 00:00:00,2008
7,Adobe Inc.,ADBE,0.526666,Information Technology,Application Software,"San Jose, California",1997-05-05 00:00:00,1982
8,Advance Auto Parts Inc.,AAP,0.05364,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09 00:00:00,1932
9,Advanced Micro Devices Inc.,AMD,0.081975,Information Technology,Semiconductors,"Sunnyvale, California",2017-03-20 00:00:00,1969
10,AES Corporation,AES,0.045371,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02 00:00:00,1981
11,Affiliated Managers Group Inc.,AMG,0.025065,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014-07-01 00:00:00,1993
12,Aflac Incorporated,AFL,0.161577,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28 00:00:00,1955
13,Agilent Technologies Inc.,A,0.101563,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05 00:00:00,1999
14,Air Products and Chemicals Inc.,APD,0.155985,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30 00:00:00,1940
15,Akamai Technologies Inc.,AKAM,0.047131,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12 00:00:00,1998
16,Alaska Air Group Inc.,ALK,0.036193,Industrials,Airlines,"Seattle, Washington",2016-05-13 00:00:00,1985
17,Albemarle Corporation,ALB,0.038261,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016-07-01 00:00:00,1994
18,Alexandria Real Estate Equities Inc.,ARE,0.057782,Real Estate,Office REITs,"Pasadena, California",2017-03-20 00:00:00,1994
19,Alexion Pharmaceuticals Inc.,ALXN,0.109932,Health Care,Biotechnology,"Cheshire, Connecticut",2012-05-25 00:00:00,1992
20,Align Technology Inc.,ALGN,0.065052,Health Care,Health Care Supplies,"San Jose, California",2017-06-19 00:00:00,1997
21,Allegion PLC,ALLE,0.035626,Industrials,Building Products,"Dublin, Ireland",2013-12-02 00:00:00,1908
22,Allergan plc,AGN,0.218414,Health Care,Pharmaceuticals,"Dublin, Ireland",1999-04-12 00:00:00,1983
23,Alliance Data Systems Corporation,ADS,0.036553,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013-12-23 00:00:00,1996
24,Alliant Energy Corp,LNT,0.044201,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01 00:00:00,1917
25,Allstate Corporation,ALL,0.132807,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13 00:00:00,1931
26,Alphabet Inc. Class A,GOOGL,1.44951,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03 00:00:00,1998
27,Alphabet Inc. Class C,GOOG,1.481997,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03 00:00:00,1998
28,Altria Group Inc,MO,0.41671,Consumer Staples,Tobacco,"Richmond, Virginia",,1985
29,Amazon.com Inc.,AMZN,3.062531,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18 00:00:00,1994
30,Ameren Corporation,AEE,0.072191,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19 00:00:00,1902
31,American Airlines Group Inc.,AAL,0.059525,Industrials,Airlines,"Fort Worth, Texas",2015-03-23 00:00:00,1934
32,American Electric Power Company Inc.,AEP,0.166769,Utilities,Electric Utilities,"Columbus, Ohio",,1906
33,American Express Company,AXP,0.318883,Financials,Consumer Finance,"New York, New York",1976-06-30 00:00:00,1850
34,American International Group Inc.,AIG,0.170788,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31 00:00:00,1919
35,American Tower Corporation,AMT,0.327794,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19 00:00:00,1995
36,American Water Works Company Inc.,AWK,0.074853,Utilities,Water Utilities,"Voorhees, New Jersey",2016-03-04 00:00:00,1886
37,Ameriprise Financial Inc.,AMP,0.074082,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03 00:00:00,1894
38,AmerisourceBergen Corporation,ABC,0.056362,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30 00:00:00,1985
39,AMETEK Inc.,AME,0.074157,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23 00:00:00,1930
40,Amgen Inc.,AMGN,0.578428,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02 00:00:00,1980
41,Amphenol Corporation Class A,APH,0.111341,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30 00:00:00,1932
42,Anadarko Petroleum Corporation,APC,0.110856,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",1997-07-28 00:00:00,1959
43,Analog Devices Inc.,ADI,0.149141,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12 00:00:00,1965
44,ANSYS Inc.,ANSS,0.058948,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19 00:00:00,1969
45,Anthem Inc.,ANTM,0.304279,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25 00:00:00,2014 (1940s)
46,Aon plc,AON,0.16409,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23 00:00:00,1982 (1919)
47,Apache Corporation,APA,0.055045,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28 00:00:00,1954
48,Apartment Investment and Management Company Class A,AIV,0.032476,Real Estate,Residential REITs,"Denver, Colorado",2003-03-14 00:00:00,1994 (1975)
49,Apple Inc.,AAPL,3.119672,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30 00:00:00,1977
50,Applied Materials Inc.,AMAT,0.152635,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16 00:00:00,1967
51,Aptiv PLC,APTV,0.085542,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",2012-12-24 00:00:00,1994
52,Archer-Daniels-Midland Company,ADM,0.110412,Consumer Staples,Agricultural Products,"Decatur, Illinois",1981-07-29 00:00:00,1902
53,Arconic Inc.,ARNC,0.038193,Industrials,Aerospace & Defense,"New York, New York",1964-03-31 00:00:00,2016
54,Arista Networks Inc.,ANET,0.051087,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28 00:00:00,2004
55,Arthur J. Gallagher & Co.,AJG,0.060398,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31 00:00:00,
56,Assurant Inc.,AIZ,0.022633,Financials,Multi-line Insurance,"New York, New York",2007-04-10 00:00:00,
57,AT&T Inc.,T,1.027481,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 00:00:00,1983
58,Autodesk Inc.,ADSK,0.134679,Information Technology,Application Software,"San Rafael, California",1989-12-01 00:00:00,
59,Automatic Data Processing Inc.,ADP,0.263073,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31 00:00:00,
60,AutoZone Inc.,AZO,0.096364,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02 00:00:00,
61,AvalonBay Communities Inc.,AVB,0.112931,Real Estate,Residential REITs,"Arlington, Virginia[5]",2007-01-10 00:00:00,
62,Avery Dennison Corporation,AVY,0.037359,Materials,Paper Packaging,"Glendale, California",1987-12-31 00:00:00,
63,Baker Hughes a GE Company Class A,BHGE,0.054155,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,2017
64,Ball Corporation,BLL,0.076689,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31 00:00:00,
65,Bank of America Corp,BAC,1.110373,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30 00:00:00,
66,Bank of New York Mellon Corporation,BK,0.204229,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31 00:00:00,
67,Baxter International Inc.,BAX,0.15065,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30 00:00:00,1931
68,BB&T Corporation,BBT,0.16358,Financials,Regional Banks,"Winston-Salem, North Carolina",1997-12-04 00:00:00,
69,Becton Dickinson and Company,BDX,0.280011,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30 00:00:00,1897
70,Berkshire Hathaway Inc. Class B,BRK.B,1.756247,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16 00:00:00,
71,Best Buy Co. Inc.,BBY,0.061912,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29 00:00:00,
72,Biogen Inc.,BIIB,0.30694,Health Care,Biotechnology,"Weston, Massachusetts",2003-11-13 00:00:00,
73,BlackRock Inc.,BLK,0.223066,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04 00:00:00,
74,Boeing Company,BA,0.853507,Industrials,Aerospace & Defense,"Chicago, Illinois",,1916
75,Booking Holdings Inc.,BKNG,0.361687,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06 00:00:00,
76,BorgWarner Inc.,BWA,0.037755,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19 00:00:00,
77,Boston Properties Inc.,BXP,0.08316,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03 00:00:00,
78,Boston Scientific Corporation,BSX,0.223985,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",1995-02-24 00:00:00,
79,Brighthouse Financial Inc.,BHF,0.018482,Financials,Life & Health Insurance,"Charlotte, North Carolina",2017-08-08 00:00:00,
80,Bristol-Myers Squibb Company,BMY,0.361017,Health Care,Health Care Distributors,"New York, New York",,1989
81,Broadcom Inc.,AVGO,0.478871,Information Technology,Semiconductors,"San Jose, California",2014-05-08 00:00:00,
82,Broadridge Financial Solutions Inc.,BR,0.052826,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18 00:00:00,1962
83,Brown-Forman Corporation Class B,BF.B,0.035029,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31 00:00:00,
84,C.H. Robinson Worldwide Inc.,CHRW,0.054654,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02 00:00:00,
85,Cabot Oil & Gas Corporation,COG,0.04987,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23 00:00:00,
86,Cadence Design Systems Inc.,CDNS,0.057246,Information Technology,Application Software,"San Jose, California",2017-09-18 00:00:00,
87,Campbell Soup Company,CPB,0.030563,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,1869
88,Capital One Financial Corporation,COF,0.178676,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01 00:00:00,1935
89,Capri Holdings Limited,CPRI,0.027496,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-11-13 00:00:00,
90,Cardinal Health Inc.,CAH,0.06502,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27 00:00:00,
91,CarMax Inc.,KMX,0.052708,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28 00:00:00,
92,Carnival Corporation,CCL,0.096696,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22 00:00:00,
93,Caterpillar Inc.,CAT,0.358861,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,1925
94,Cboe Global Markets Inc,CBOE,0.047121,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01 00:00:00,
95,CBRE Group Inc. Class A,CBRE,0.061349,Real Estate,Real Estate Services,"Los Angeles, California",2006-11-10 00:00:00,
96,CBS Corporation Class B,CBS,0.074333,Communication Services,Broadcasting,"New York, New York",1994-09-01 00:00:00,2006
97,Celanese Corporation,CE,0.056664,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24 00:00:00,
98,Celgene Corporation,CELG,0.280746,Health Care,Biotechnology,"Summit, New Jersey",2006-11-06 00:00:00,
99,Centene Corporation,CNC,0.114715,Health Care,Managed Health Care,"St Louis, Missouri",2016-03-30 00:00:00,
100,CenterPoint Energy Inc.,CNP,0.065842,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31 00:00:00,
101,CenturyLink Inc.,CTL,0.070698,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",1999-03-25 00:00:00,
102,Cerner Corporation,CERN,0.081573,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30 00:00:00,
103,CF Industries Holdings Inc.,CF,0.045994,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27 00:00:00,
104,Charles Schwab Corporation,SCHW,0.241586,Financials,Investment Banking & Brokerage,"San Francisco, California",1997-06-02 00:00:00,
105,Charter Communications Inc. Class A,CHTR,0.238745,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08 00:00:00,
106,Chevron Corporation,CVX,0.98438,Energy,Integrated Oil & Gas,"San Ramon, California",,1879
107,Chipotle Mexican Grill Inc.,CMG,0.056713,Consumer Discretionary,Restaurants,"Denver, Colorado",2011-04-28 00:00:00,
108,Chubb Limited,CB,0.278057,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15 00:00:00,
109,Church & Dwight Co. Inc.,CHD,0.074429,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29 00:00:00,
110,Cigna Corporation,CI,0.330892,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30 00:00:00,
111,Cimarex Energy Co.,XEC,0.031343,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014-06-21 00:00:00,
112,Cincinnati Financial Corporation,CINF,0.053841,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18 00:00:00,
113,Cintas Corporation,CTAS,0.069669,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01 00:00:00,
114,Cisco Systems Inc.,CSCO,0.89622,Information Technology,Communications Equipment,"San Jose, California",1993-12-01 00:00:00,
115,Citigroup Inc.,C,0.664192,Financials,Diversified Banks,"New York, New York",1988-05-31 00:00:00,
116,Citizens Financial Group Inc.,CFG,0.072205,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29 00:00:00,
117,Citrix Systems Inc.,CTXS,0.062276,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",1999-12-01 00:00:00,
118,Clorox Company,CLX,0.088937,Consumer Staples,Household Products,"Oakland, California",1969-03-31 00:00:00,1913
119,CME Group Inc. Class A,CME,0.29464,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11 00:00:00,
120,CMS Energy Corporation,CMS,0.06411,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03 00:00:00,
121,Coca-Cola Company,KO,0.832826,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,1886
122,Cognizant Technology Solutions Corporation Class A,CTSH,0.171626,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17 00:00:00,
123,Colgate-Palmolive Company,CL,0.244875,Consumer Staples,Household Products,"New York, New York",,1806
124,Comcast Corporation Class A,CMCSA,0.749562,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18 00:00:00,
125,Comerica Incorporated,CMA,0.055146,Financials,Diversified Banks,"Dallas, Texas",1995-12-01 00:00:00,
126,Conagra Brands Inc.,CAG,0.046636,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31 00:00:00,
127,Concho Resources Inc.,CXO,0.111691,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016-02-22 00:00:00,
128,ConocoPhillips,COP,0.349704,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,2002
129,Consolidated Edison Inc.,ED,0.106192,Utilities,Electric Utilities,"New York, New York",,1823
130,Constellation Brands Inc. Class A,STZ,0.123319,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-05 00:00:00,
131,Cooper Companies Inc.,COO,0.058279,Health Care,Health Care Supplies,"Pleasanton, California",2016-09-23 00:00:00,
132,Copart Inc.,CPRT,0.046275,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02 00:00:00,
133,Corning Inc,GLW,0.110931,Information Technology,Electronic Components,"Corning, New York",,1851
134,Costco Wholesale Corporation,COST,0.422319,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01 00:00:00,
135,Coty Inc. Class A,COTY,0.014834,Consumer Staples,Personal Products,"New York, New York",2016-10-03 00:00:00,
136,Crown Castle International Corp,CCI,0.202418,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14 00:00:00,
137,CSX Corporation,CSX,0.241551,Industrials,Railroads,"Jacksonville, Florida",1967-09-30 00:00:00,1980
138,Cummins Inc.,CMI,0.096667,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31 00:00:00,1919
139,CVS Health Corporation,CVS,0.38898,Health Care,Health Care Services,"Woonsocket, Rhode Island",,1996
140,D.R. Horton Inc.,DHI,0.060195,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,1978
141,Danaher Corporation,DHR,0.296023,Health Care,Health Care Equipment,"Washington, D.C.",,1969
142,Darden Restaurants Inc.,DRI,0.060244,Consumer Discretionary,Restaurants,"Orlando, Florida",,1938
143,DaVita Inc.,DVA,0.032536,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31 00:00:00,
144,Deere & Company,DE,0.231927,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,1837
145,Delta Air Lines Inc.,DAL,0.137793,Industrials,Airlines,"Atlanta, Georgia",2013-09-11 00:00:00,
146,DENTSPLY SIRONA Inc.,XRAY,0.040804,Health Care,Health Care Supplies,"York, Pennsylvania",2008-11-14 00:00:00,
147,Devon Energy Corporation,DVN,0.0565,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30 00:00:00,
148,Diamondback Energy Inc.,FANG,0.073665,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03 00:00:00,2007
149,Digital Realty Trust Inc.,DLR,0.100633,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18 00:00:00,
150,Discover Financial Services,DFS,0.099359,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02 00:00:00,
151,Discovery Inc. Class A,DISCA,0.019216,Communication Services,Broadcasting,"Silver Spring, Maryland",2010-03-01 00:00:00,
152,Discovery Inc. Class C,DISCK,0.041411,Communication Services,Broadcasting,"Silver Spring, Maryland",2014-08-07 00:00:00,
153,DISH Network Corporation Class A,DISH,0.028834,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13 00:00:00,
154,Dollar General Corporation,DG,0.137869,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03 00:00:00,
155,Dollar Tree Inc.,DLTR,0.105463,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19 00:00:00,
156,Dominion Energy Inc,D,0.235442,Utilities,Electric Utilities,"Richmond, Virginia",,1983
157,Dover Corporation,DOV,0.052875,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31 00:00:00,
158,DowDuPont Inc.,DWDP,0.586016,Materials,Diversified Chemicals,"Midland, Michigan",,2017
159,DTE Energy Company,DTE,0.091634,Utilities,Multi-Utilities,"Detroit, Michigan",,1995
160,Duke Energy Corporation,DUK,0.274987,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30 00:00:00,
161,Duke Realty Corporation,DRE,0.044812,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26 00:00:00,
162,DXC Technology Co.,DXC,0.077566,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04 00:00:00,
163,E*TRADE Financial Corporation,ETFC,0.05665,Financials,Investment Banking & Brokerage,"New York, New York",2004-03-31 00:00:00,
164,Eastman Chemical Company,EMN,0.049424,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01 00:00:00,
165,Eaton Corp. Plc,ETN,0.139675,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1911
166,eBay Inc.,EBAY,0.126174,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1995
167,Ecolab Inc.,ECL,0.17344,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31 00:00:00,
168,Edison International,EIX,0.086427,Utilities,Electric Utilities,"Rosemead, California",,1886
169,Edwards Lifesciences Corporation,EW,0.143769,Health Care,Health Care Equipment,"Irvine, California",2011-04-01 00:00:00,
170,Electronic Arts Inc.,EA,0.124032,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22 00:00:00,
171,Eli Lilly and Company,LLY,0.498757,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31 00:00:00,1876
172,Emerson Electric Co.,EMR,0.177349,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31 00:00:00,1890
173,Entergy Corporation,ETR,0.06986,Utilities,Electric Utilities,"New Orleans, Louisiana",,1913
174,EOG Resources Inc.,EOG,0.26171,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02 00:00:00,
175,Equifax Inc.,EFX,0.05275,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19 00:00:00,
176,Equinix Inc.,EQIX,0.139514,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20 00:00:00,
177,Equity Residential,EQR,0.114202,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03 00:00:00,
178,Essex Property Trust Inc.,ESS,0.074997,Real Estate,Residential REITs,"Palo Alto, California",2014-04-02 00:00:00,
179,Estee Lauder Companies Inc. Class A,EL,0.128442,Consumer Staples,Personal Products,"New York, New York",2006-01-05 00:00:00,
180,Everest Re Group Ltd.,RE,0.040043,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19 00:00:00,
181,Evergy Inc.,EVRG,0.069407,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05 00:00:00,1909
182,Eversource Energy,ES,0.094798,Utilities,Multi-Utilities,"Springfield, Massachusetts",,1966
183,Exelon Corporation,EXC,0.199463,Utilities,Multi-Utilities,"Chicago, Illinois",,2000
184,Expedia Group Inc.,EXPE,0.062694,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",2007-10-02 00:00:00,
185,Expeditors International of Washington Inc.,EXPD,0.054552,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10 00:00:00,
186,Extra Space Storage Inc.,EXR,0.052223,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19 00:00:00,
187,Exxon Mobil Corporation,XOM,1.398346,Energy,Integrated Oil & Gas,"Irving, Texas",,1999
188,F5 Networks Inc.,FFIV,0.045414,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20 00:00:00,1996
189,Facebook Inc. Class A,FB,1.61073,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23 00:00:00,
190,Fastenal Company,FAST,0.070937,Industrials,Building Products,"Winona, Minnesota",2009-09-15 00:00:00,
191,Federal Realty Investment Trust,FRT,0.041058,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01 00:00:00,
192,FedEx Corporation,FDX,0.191043,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31 00:00:00,
193,Fidelity National Information Services Inc.,FIS,0.156134,Information Technology,Internet Software & Services,"Jacksonville, Florida",2006-11-10 00:00:00,
194,Fifth Third Bancorp,FITB,0.077566,Financials,Regional Banks,"Cincinnati, Ohio",,1858
195,First Republic Bank,FRC,0.065252,Financials,Regional Banks,"San Francisco, California",2019-01-02 00:00:00,1985
196,FirstEnergy Corp.,FE,0.084769,Utilities,Electric Utilities,"Akron, Ohio",,1997
197,Fiserv Inc.,FISV,0.136974,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",2001-04-02 00:00:00,
198,FleetCor Technologies Inc.,FLT,0.076372,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",2018-06-20 00:00:00,2000
199,FLIR Systems Inc.,FLIR,0.027769,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2009-01-02 00:00:00,
200,Flowserve Corporation,FLS,0.024738,Industrials,Industrial Machinery,"Irving, Texas",2008-10-02 00:00:00,
201,Fluor Corporation,FLR,0.023522,Industrials,Construction & Engineering,"Irving, Texas",1980-03-31 00:00:00,
202,FMC Corporation,FMC,0.048771,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19 00:00:00,
203,Foot Locker Inc.,FL,0.030415,Consumer Discretionary,Apparel Retail,"New York, New York",2016-04-04 00:00:00,
204,Ford Motor Company,F,0.161382,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,1903
205,Fortinet Inc.,FTNT,0.047621,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11 00:00:00,2000
206,Fortive Corp.,FTV,0.094486,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01 00:00:00,
207,Fortune Brands Home & Security Inc.,FBHS,0.027841,Industrials,Building Products,"Deerfield, Illinois",2016-06-22 00:00:00,
208,Franklin Resources Inc.,BEN,0.042565,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
209,Freeport-McMoRan Inc.,FCX,0.076814,Materials,Copper,"Phoenix, Arizona",,1912
210,Gap Inc.,GPS,0.025421,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986-08-31 00:00:00,
211,Garmin Ltd.,GRMN,0.036468,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12 00:00:00,
212,Gartner Inc.,IT,0.052774,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05 00:00:00,
213,General Dynamics Corporation,GD,0.210235,Industrials,Aerospace & Defense,"Falls Church, Virginia",,1899
214,General Electric Company,GE,0.356935,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,1892
215,General Mills Inc.,GIS,0.114193,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31 00:00:00,1856
216,General Motors Company,GM,0.22672,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06 00:00:00,
217,Genuine Parts Company,GPC,0.063593,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973-12-31 00:00:00,1925
218,Gilead Sciences Inc.,GILD,0.399752,Health Care,Biotechnology,"Foster City, California",2004-07-01 00:00:00,
219,Global Payments Inc.,GPN,0.080085,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25 00:00:00,
220,Goldman Sachs Group Inc.,GS,0.28518,Financials,Investment Banking & Brokerage,"New York, New York",2002-07-22 00:00:00,
221,Goodyear Tire & Rubber Company,GT,0.023717,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,1898
222,H&R Block Inc.,HRB,0.023891,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",1986-11-30 00:00:00,
223,Halliburton Company,HAL,0.122596,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1919
224,Hanesbrands Inc.,HBI,0.023317,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015-03-20 00:00:00,
