,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
350,Northern Trust Corporation,NTRS,0.088211,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,1889
351,Northrop Grumman Corporation,NOC,0.207571,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30 00:00:00,
352,Norwegian Cruise Line Holdings Ltd.,NCLH,0.045889,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13 00:00:00,
353,NRG Energy Inc.,NRG,0.053109,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29 00:00:00,
354,Nucor Corporation,NUE,0.081661,Materials,Steel,"Charlotte, North Carolina",1985-04-30 00:00:00,
355,NVIDIA Corporation,NVDA,0.423091,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30 00:00:00,
356,O'Reilly Automotive Inc.,ORLY,0.125861,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27 00:00:00,
357,Occidental Petroleum Corporation,OXY,0.230049,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1982-12-31 00:00:00,
358,Omnicom Group Inc,OMC,0.077893,Communication Services,Advertising,"New York, New York",,1986
359,ONEOK Inc.,OKE,0.111953,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15 00:00:00,
360,Oracle Corporation,ORCL,0.565318,Information Technology,Application Software,"Redwood Shores, California",1989-08-31 00:00:00,
361,PACCAR Inc,PCAR,0.096247,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31 00:00:00,
362,Packaging Corporation of America,PKG,0.038381,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26 00:00:00,
363,Parker-Hannifin Corporation,PH,0.094705,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30 00:00:00,
364,Paychex Inc.,PAYX,0.098682,Information Technology,Internet Software & Services,"Penfield, New York",,1971
